# Data 260513
# Area = 0.5 * Base * Height
#Base	Height
20.61		18.30
21.03		20.37
39.95		31.49
42.76		17.51
45.75		39.48
26.46		19.71
17.46		31.33
22.05		13.85
41.46		31.25
42.17		23.70
30.90		3.65
27.54		19.48
6.10		40.99
28.70		23.61
33.41		1.87
46.95		15.05
47.98		48.78
49.37		41.91
18.79		31.50
41.67		44.17
15.60		28.23
28.81		49.13
11.57		12.57
27.15		20.74
31.88		43.72
8.98		6.90
36.80		19.76
36.89		25.77
7.92		20.64
28.37		1.47
17.73		9.21
5.03		19.04
29.90		2.76
27.80		30.80
14.63		49.50
7.35		1.87
24.42		48.21
47.93		25.09
14.70		15.60
13.93		19.00
31.03		46.06
41.79		46.74
14.88		42.70
31.58		49.31
41.11		1.74
10.71		25.65
15.91		10.55
18.88		12.57
9.45		21.33
48.02		1.56
40.37		6.99
24.70		44.56
8.84		28.82
2.11		43.69
17.53		22.13
39.54		41.68
4.73		36.56
36.67		45.53
4.03		43.29
49.06		31.47
2.72		28.61
34.45		38.52
10.73		43.79
47.28		35.67
34.07		39.92
20.72		44.90
40.92		3.85
19.35		45.56
8.46		2.22
5.18		3.78
19.26		42.33
21.30		31.99
46.71		35.14
48.94		28.58
46.24		29.38
18.80		12.05
20.10		26.10
30.80		2.18
18.55		38.42
44.49		22.16
5.49		42.94
32.77		45.43
20.88		44.35
5.00		7.51
46.78		6.72
30.01		1.02
24.37		30.15
48.30		30.88
48.89		25.24
1.18		40.91
47.87		38.92
49.22		15.21
45.31		48.44
43.00		1.34
38.06		13.28
12.84		42.86
10.77		35.30
44.10		14.62
46.66		28.85
7.23		43.11
